"RX_Ypos [cm]","Freq [GHz]","ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
315,5.275,2.82365479772881
315,5.2825,1.75983275987033
315,5.29,0.74442976960227
315,5.2975,-0.315673505075456
315,5.305,-1.33287399293614
315,5.3125,-2.37497211508661
315,5.32,2.86070627133316
315,5.3275,1.93777419165273
315,5.335,0.989684698842878
315,5.3425,0.148368627814363
315,5.35,-0.758526556919727
315,5.3575,-1.78657163405456
315,5.365,-2.7336198984118
315,5.3725,2.6107394988516
315,5.38,1.61424432467321
315,5.3875,0.617983943357035
315,5.395,-0.348110464158412
315,5.4025,-1.40125898547438
315,5.41,-2.38497751418025
315,5.4175,2.90398742879511
315,5.425,1.74894386045892
315,5.4325,0.550238605271527
315,5.44,-0.56360559497558
315,5.4475,-1.66705704133609
315,5.455,2.74943999420905
315,5.4625,0.342632407374389
315,5.47,-0.720445171597734
315,5.4775,-2.08267719535981
315,5.485,2.87418226237286
315,5.4925,1.9889148984664
315,5.5,0.834339460380961
315,5.5075,0.0504097738409775
315,5.515,-0.6224684790221
315,5.5225,-1.52068865983504
315,5.53,-2.4590226272049
315,5.5375,2.77600109147604
315,5.545,1.78677624202088
315,5.5525,0.785408457768408
315,5.56,-0.155418666678817
315,5.5675,-1.18971929841292
315,5.575,-2.19230416202983
315,5.5825,3.07255545815399
315,5.59,2.08078045420908
315,5.5975,1.20431237791351
315,5.605,0.124155277389097
315,5.6125,-0.969004080694452
315,5.62,-2.03266646242207
315,5.6275,3.12033013934728
315,5.635,1.99800848459068
315,5.6425,0.881366471757611
315,5.65,-0.253949681925142
315,5.6575,-1.45359481970947
315,5.665,-2.70594866021798
315,5.6725,2.35797716201796
315,5.68,1.09119511224865
315,5.6875,-0.485739722455608
315,5.695,-2.15664265465247
315,5.7025,2.85312304831872
315,5.71,1.64598531839939
315,5.7175,0.398118240368041
315,5.725,-0.64265582500383
315,5.7325,-1.67700751695386
315,5.74,-2.76363057842907
315,5.7475,2.55154244620349
315,5.755,1.54264211807262
315,5.7625,0.481465709817668
315,5.77,-0.510517187033318
315,5.7775,-1.4478942339434
315,5.785,-2.41409975009711
315,5.7925,2.85175861112107
315,5.8,1.85276289342962
315,5.8075,0.843305935715274
315,5.815,-0.173980744015446
315,5.8225,-1.12910798571863
315,5.83,-2.0805698908173
315,5.8375,-3.0393687592838
315,5.845,2.20340434898622
315,5.8525,1.18101767716233
315,5.86,0.236628337139219
315,5.8675,-0.835149783331817
315,5.875,-1.91799278278896
315,5.8825,-2.9885313571998
315,5.89,2.08673582456253
315,5.8975,0.810034602011328
315,5.905,-0.364517465921157
315,5.9125,-1.56289247314564
315,5.92,-2.95638993655473
315,5.9275,1.98389233276906
315,5.935,0.670178480349991
315,5.9425,-0.711342692222123
315,5.95,-1.93788284391061
315,5.9575,-3.06255664281175
315,5.965,2.05083093156998
315,5.9725,0.940645638994599
315,5.98,0.0163084417630269
315,5.9875,-0.984828589339983
315,5.995,-1.98558890406274
315,6.0025,-2.85521557277593
315,6.01,2.39137554485158
315,6.0175,1.37297735862572
315,6.025,0.355836271629166
315,6.0325,-0.693010536813629
315,6.04,-1.60686597895359
315,6.0475,-2.63199146733844
315,6.055,2.63865140884442
315,6.0625,1.72346292786215
315,6.07,0.687136358513812
315,6.0775,-0.269110892339438
315,6.085,-1.13223701944002
315,6.0925,-2.14336460142742
315,6.1,3.10484320078404
315,6.1075,2.16090118652176
315,6.115,1.09180179160465
315,6.1225,0.0264339509442034
315,6.13,-0.958332939848255
315,6.1375,-2.09304946262478
315,6.145,3.09044111538038
315,6.1525,1.89407087693634
315,6.16,0.528359790710973
315,6.1675,-0.928646958774608
315,6.175,2.71515488774401
315,6.1825,0.83343870854237
315,6.19,-0.356843591738106
315,6.1975,-1.23886807273625
315,6.205,-2.53418970759804
315,6.2125,2.75422643490008
315,6.22,1.90201197496613
315,6.2275,0.625560816195288
315,6.235,-0.472907308719503
315,6.2425,-0.859064022348581
315,6.25,-1.79124523659675
315,6.2575,-2.02855085990517
315,6.265,-3.02165617096342
315,6.2725,2.13505200119181
315,6.28,1.43486523380691
315,6.2875,0.455799616980546
315,6.295,-0.296715554742723
315,6.3025,-1.25470751151199
315,6.31,-2.27323935728614
315,6.3175,3.13532295717596
315,6.325,2.04080777373943
315,6.3325,1.03267781122397
315,6.34,0.121891456068645
315,6.3475,-0.979078438271079
315,6.355,-2.0710074997449
315,6.3625,-3.09027257551625
315,6.37,2.11895603659273
315,6.3775,1.07437277225105
315,6.385,0.138319504717901
315,6.3925,-0.803921872934112
315,6.4,-1.78932846852089
315,6.4075,-2.76564832560022
315,6.415,2.60518337268368
315,6.4225,1.74628427550084
315,6.43,1.01630710625961
315,6.4375,0.142744123201911
315,6.445,-0.891061238692041
315,6.4525,-1.85290878002867
315,6.46,-2.88347918480381
315,6.4675,2.59550997901199
315,6.475,1.93779748555961
315,6.4825,0.934706109221647
315,6.49,0.994953098346184
315,6.4975,-0.0888924487784411
315,6.505,-0.70174824631286
315,6.5125,-1.13999794651523
315,6.52,-2.23386514165764
315,6.5275,-3.02372998470971
315,6.535,2.22638615096346
315,6.5425,1.15825461290519
315,6.55,0.241399419209181
315,6.5575,-0.754213261954518
315,6.565,-1.75795758033571
315,6.5725,-2.75929829344359
315,6.58,2.4573860395169
315,6.5875,1.38519633489773
315,6.595,0.359110420292498
315,6.6025,-0.705788600908014
315,6.61,-1.7329978691826
315,6.6175,-2.65750578075482
315,6.625,2.55510667054739
315,6.6325,1.50026753300388
315,6.64,0.573399204338652
315,6.6475,-0.434639330382546
315,6.655,-1.31796912832107
315,6.6625,-2.05315729970685
315,6.67,-2.62927089916946
315,6.6775,2.91795601697213
315,6.685,2.3525456354356
315,6.6925,1.68928631543946
315,6.7,0.634910846427333
315,6.7075,-0.289997632011145
315,6.715,-1.26717706645436
315,6.7225,-2.07514255659482
315,6.73,-2.80039854158618
315,6.7375,2.43498623616475
315,6.745,1.6006437234808
315,6.7525,0.621276919995211
315,6.76,-0.498669277146274
315,6.7675,-1.10338499381365
315,6.775,-2.11056316711286
315,6.7825,3.10348276921129
315,6.79,2.27450183554251
315,6.7975,1.23239120864613
315,6.805,0.249913360216986
315,6.8125,-0.609103241470201
315,6.82,-1.51380399275505
315,6.8275,-2.43853843420192
315,6.835,2.85888374814184
315,6.8425,1.83946393472206
315,6.85,0.889251453607905
315,6.8575,-0.10295856234794
315,6.865,-1.06880556789511
315,6.8725,-1.87747588739157
315,6.88,-2.88009863389887
315,6.8875,2.44758781597799
315,6.895,1.59731954878512
315,6.9025,0.655399010146577
315,6.91,-0.182920864542354
315,6.9175,-1.05404995864261
315,6.925,-1.92777134946787
